question,answer,A,B,C,D
Why do the guys from the firehouse recruit Black Sean?,To play basketball for the firehouse,To play basketball for the firehouse,He was a friend of Mike and Sean.,He was first in his academy class.,Tommy told them to.
Sean was diagnosed with cancer in season 4 of Rescue Me.,False,True,False,,
Which firefighter did Laura date on the show Rescue Me?,Franco,Tommy,Sean,Lou,Franco
Where does Tommys dad die in the TV series Rescue Me?,At a minor league baseball game,At a minor league baseball game,At Uncle Teddys house,At the fire house,At his home
In what season of Rescue Me does the fire house get shut down?,6,2,5,3,6
"In the Abbott  Costello Whos on first, what is the only position without a name?",Right field,Right field,Center field,Catcher,Pitcher
"Which of these is an Abbott  Costello comedy horror movie, directed by Charles Barton and released in 1949?","Abbott and Costello Meet the Killer, Boris Karloff","Abbott and Costello Meet the Killer, Boris Karloff",Abbott  Costello Meet Frankenstein,Abbott  Costello Meet Dr. Jekyll  Mr. Hyde,Abbott and Costello in the Foreign Legion
The Smothers Brothers were censored for their comments on the Vietnam War and President LBJ and were eventually cancelled.,True,False,True,,
What was Tony Curtis birth name?,Bernard Schwartz,Tony Adverse,Tony Curtis,Albert DeSalvo,Bernard Schwartz
Which armed service did Tony Curtis join during World War II?,Navy,Army,Coast Guard,Air force,Navy
What film featured Tony Curtis and Jack Lemmon dressed as women?,Some Like It Hot,Sweet Smell of Success,Some Like It Hot,Who Was That Lady,Monte Carlo or Bust
"In Some Like It Hot when Tony Curtis assumed the disguise of the Millionaire, he did an impersonation of what actor?",Cary Grant,Cary Grant,James Stewart,Gregory Peck,Paul Newman
Tony Curtis appeared in over 100 films from 1948-2009. How many Academy Awards did he win during this period?,0,5,0,2,4
What is the name of the beach movie that starred Tony Curtis along with Claudia Cardinale and ,Dont Make Waves,Sex and the Single Girl,The Great Race,Dont Make Waves,Who Was That Lady
"This film starred Tony Curtis, Kirk Douglas, Janet Leigh and Ernest Borgnine as Ragnar.",The Vikings,Forbidden,The Vikings,Trapeze,Spartacus
In what circus film did Tony Curtis and Burt Lancaster star together?,Trapeze,Houdini,Trapeze,Ringling Brothers Circus,Double Take
Charlie Chan is a fictional detective with the L.A. police department.,False,False,True,,
There were less than twenty Charlie Chan movies made.,False,True,False,,
Was Charlie Chan portrayed by Asian actors in most films?,No,Yes,No,,
Actor Sidney Toler took over the role of Charlie Chan after Warner Olands death. What was Tolers nationality?,American,American,Canadian,Swedish,British
Charlie Chan movies are not popular in China because the Chinese did not like the way Chan was portrayed.,False,True,False,,
"When Charlie Chan in Panama was being filmed, there was fear that either Japan or Germany would bomb the Panama Canal.",True,False,True,,
What statement about Abraham is true?,All of these,He is considered a founding father in the Islamic tradition.,All of these,He is considered a founding father in the Christion tradition.,He is considered a founding fataher in the Jewish tradition.
Which of the following is a traditional Christian belief?,All of these,Jesus performed miracles,Jesus founded the Church,All of these,Jesus was born of a virgin.
Name the spiritual teacher from ancient India who founded Buddhism.,SiddhÄrtha Gautama,Abhay Charanaravinda,Muhammad,Laozi,SiddhÄrtha Gautama
"Where was Muhammad, the founder of Islam, born?",Mecca,Mecca,None of these,Medina,Nazareth
Which of the following is a philosopher of ancient China and a central figure in Taoism?,Laozi,Wang Chong,Huan Tan,Jing Fang,Laozi
Confucius was a thinker and social philosopher from this country.,China,China,Israel,Ancient Greece,Japan
"What nationality was Zoroaster (Zarathushtra), the founder of the Zoroastrian religion?",Iranian,Chinese,Greek,Iranian,Indian
The BahÃ¡Ã­ Faith is a monotheistic religion founded in Persia.,True,True,False,,
One of the core beliefs of Jainism is that every living being has a soul.,True,False,True,,
Who was the founder of Sikhism?,Nanak Dev,Har Krishan,Nanak Dev,Gobind Singh,Amar Das
Memorial Day was first enacted to honor soldiers who died in what war?,The Civil War,The Civil War,World War I,The Spanish-American War,The Revolutionary War
What was the original name of the US federal holiday known as Memorial Day?,Decoration Day,Soldiers Day,Decoration Day,Remembrance Day,Veterans Day
"At the beginning of this 1998 epic war movie, an elderly World War II veteran and his family visit the Normandy American Cemetery and Memorial in France.",Saving Private Ryan,When Trumpets Fade,Schindlers List,Saving Private Ryan,Pearl Harbour
Arlington National Cemetery was established during the American Civil War on the grounds of the estate which once belonged to Mary Anna Custis family. Whose wife was Mary Anna Custis?,Robert E. Lees,Robert E. Lees,Jefferson Davis,Ulysses S. Grants,George Washingtons
What village was designated as the official birthplace of Memorial Day by President Lyndon B. Johnson?,"Waterloo, New York","Waterloo, New York","Columbus, Mississippi","Sharpsburg, Maryland","Charleston, South Carolina"
In Arlington National Cemetery there is a small memorial which commemorates the veterans of the Secret War. Which war conflict does the term Secret War refer to?,The Laotian Civil War,The Laotian Civil War,The Cold War,The Boer War,The Vietnam War
At what time does the National Moment of Remembrance take place on Memorial Day?,3 p.m,3 p.m,None of these,2 p.m.,4. p.m
What notable memorial war poem was written by Canadian poet and physician Lieutenant Colonel John McCrae?,In Flanders Fields,We Shall Keep the Faith,I Stand Before You,Freedom is not free,In Flanders Fields
"Known as the Poppy Lady, this U.S. professor and humanitarian conceived the idea of wearing poppies as a symbol of remembrance for those who served in World War I.",Moina Michael,Julia Ward Howe,Betsy Ross,Ethel Lynn Beers,Moina Michael
"Franklin Sousley, Harlon Block, and Michael Strank, who were immortalized in an iconic photo by Joe Rosenthal, were killed during what WWII battle?",Battle of Iwo Jima,The Battle of Okinawa,The Battle of Stalingrad,The Battle of Moscow,Battle of Iwo Jima
What US President presided over the entombment of the Unknown Soldier of World War II and the Unknown Soldier of the Korean War?,Dwight D. Eisenhower,Harry S. Truman,John F. Kennedy,Lyndon B. Johnson,Dwight D. Eisenhower
What was the occupation of Nora Fontaine Davidson who is regarded as the inspiration for the US Memorial Day?,schoolteacher,schoolteacher,singer,nurse,poet
"What statement is true about General John Logan, national commander of the Grand Army of the Republic?",He issued a proclamation that Decoration Day be observed nationwide.,He issued a proclamation that Decoration Day be observed nationwide.,He wrote the poem In Flanders Fields.,"He introduced measures to return Memorial Day to its traditional date, 30 May.","He refused to celebrate Decoration Day, due to lingering hostility towards the Confederate Army."
"What Union general is credited with composing the bugle call Taps, which is sounded on Memorial Day?",Daniel Butterfield,Fitz John Porter,Ulysses S. Grant,Philip Kearny,Daniel Butterfield
"What automobile race is held annually over the Memorial Day weekend, starting in 1911?",Indianapolis 500,Indianapolis 500,Sprint Cup,Daytona 500,None of these
Which of these was not an alias Fletch used in the film Fletch Lives?,J.R. Ewing,Elmer-Fudd Gantry,J.R. Ewing,Henry Himler,Billy-Jean King
"In the movie Fletch Lives, on the flight to Louisiana what Disney film does Fletch dream about?",Song of the South,Dumbo,Herbie the Love Bug,Bambi,Song of the South
"In the comedy movie Fletch Lives, when Fletch visits Bly Bio Chem, he tells the supervisor that he goes through how many suits in a day?",5,6,5,3,4
What is the name of the fictional pest control company in the movie Fletch Lives?,Bug Busters,ABC Pest Control,Bug Away,Bug Busters,Pest Be Gone
Which Law and Order SVU star appeared in Fletch Lives?,Richard Belzer,Richard Belzer,Mariska Hargity,D.B. Wong,Christopher Meloni
What city was Bly Bio Chem located in in the movie Fletch Lives?,"Yazoo City, Mississippi",New Orleans,"Vicksburg, Mississippi","Yazoo City, Mississippi","Sherveport, Louisiana"
What is the name of the plantation Fletch inherits in the movie Fletch Lives?,Belle Isle,Belle Isle,South Fork,Wayne Mannor,Southern Hill
What is the name of the woman on the flight with Fletch in the movie Fletch Lives?,Cindy Mae Sample,Cindy Thompson,Sally May Johnson,Cindy Mae Sample,Kelly Boyd
"In the film Fletch Lives, where did the woman on the flight with Fletch say she was going?",Selma,Houston,New Orleans,Dallas,Selma
What city in Louisiana was Fletch going to in the comedy movie Fletch Lives?,Thibodaux,Golden Meadow,Houma,Avery Island,Thibodaux
"For many years, in a series of films, Basil Rathbone played what was probably the best known Sherlock Holmes. Who played his friend and companion Dr Watson?",Nigel Bruce,Hubert Willis,Nigel Bruce,Andre Morel,Nigel Stock
"In the comedy Without a Clue, we had a Dr Watson who was the brains of the partnership and a Sherlock Holmes who was a bumbling idiot. Sir Ben Kingsley played Watson. Who played Holmes?",Sir Michael Caine,Jonathan Pryce,Sir Michael Caine,John Cleese,Sir Patrick Stewart
Stewart Granger and Charlton Heston have both played Sherlock Holmes on film.,True,True,False,,
"Dudley Moore, Edward Woodward and James Mason have all played Dr Watson on film.",False,False,True,,
In which film did Christopher Plummer play Holmes?,Murder by Decree,Murder by Decree,The Seven-Per-Cent Solution,A Study in Terror,The Hound of the Baskervilles
Which couple has not appeared on-screen as Holmes and Watson?,Peter OToole and Donald Houston,Vasily Livanov and Vitaly Solomin,Peter OToole and Donald Houston,Robert Stephens and Colin Blakely,Nicol Williamson and Robert Duvall
Which of the following played Sherlock Holmes on film several times?,Mack Sennet,Harold Lloyd,Mack Sennet,Buster Keaton,Roscoe Fatty Arbuckle
Who was awarded the Order of the British Empire for his portrayal of Sherlock Holmes?,Vasily Livanov,Basil Rathbone,Clive Merrison,Vasily Livanov,Jeremy Brett
Where did Sherlock Holmes live in London?,221B Baker Street,221 Baker Street,21 Baker Street,221B Baker Street,21B Baker Street
What was the name of Sherlock Holmes elder brother?,Mycroft,Porlock,Mycroft,Porcroft,Moriarty
In which of Conan Doyles stories does Sherlock Holmes first meet Dr Watson?,A Study in Scarlet,A Study in Scarlet,The Hound of the Baskervilles,A Scandal in Bohemia,The Sign of the Four
Sherlock Holmes once refers to a story for which the world is not yet prepared and which was never the subject of a Conan Doyle tale. What did the mysterious story concern?,The Giant Rat of Sumatra,The Sussex Vampire,The Voice of Terror,The Giant Rat of Sumatra,The Scarlet Claw
"How many times in the complete Sherlock Holmes stories by Conan Doyle does Holmes use the phrase Elementary, my dear Watson.?",never,3 or more times,never,once,twice
Sherlock Holmes once states that he has recognized foul play by noticing the depth which parsley had sunk into butter.,True,False,True,,
Where is the gemstone found in the Sherlock Holmes story The Adventure of the Blue Carbuncle?,Inside a Christmas goose,Inside a plaster bust of Napoleon,"It is never found, having been thrown into the Thames.","In a cardboard box, tied up with tarry string",Inside a Christmas goose
"What pattern of bullet holes did Sherlock Holmes create on the interior wall of his lodgings, apparently just for pistol shooting practice?",VR (for Victoria Regina),4,VR (for Victoria Regina),IA (for Irene Adler),Small figures resembling dancing men
"At home, where did Sherlock Holmes keep his smoking tobacco?",In the toe of a Persian slipper,In the coal scuttle,In an engraved silver tobacco tin,In his violin case,In the toe of a Persian slipper
When were the first Barbie dolls released?,1959,1962,1959,1966,1960
Which of these Barbie dolls debuted in 1971?,Malibu Barbie,Malibu Barbie,Silkstone Barbie,Holiday Barbie,Vintage Barbie
"When was an 18 Supersize Barbie, with a Superstar face, first made?",1978,1980,1967,1969,1978
What was the name of the Mattel fashion designer who created Barbies clothes?,Charlotte Johnson,Charlotte Johnson,Bob Mackie,Kelly Smith,Byron Lars
What is the first name of Ruth Handlers daughter?,Barbara,Kelly,Barbie,Mary,Barbara
During the 1990s Barbies waist was widened.,True,True,False,,
Barbies boyfriend Ken first appeared in 1961.,True,True,False,,
"Who wrote the Southern Gothic novel Absalom, Absalom!?",William Faulkner,William Faulkner,Ernest Hemingway,Harriet Beecher Stowe,Booth Tarkington
Which of these plays were written by Arthur Miller?,The Crucible and Death of a Salesman,Strange Interlude and Desire Under the Elms,The Night of the Iguana and The Rose Tattoo,The Skin of our Teeth and Our Town,The Crucible and Death of a Salesman
What statement about James Thurber and Dorothy Parker is true?,They were humorists.,They were humorists.,They were communists.,They were playwrights.,They were poets.
Who wrote the modernist poem The Waste Land?,T.S. Eliot,Robert Frost,Carl Sandburg,George Eliot,T.S. Eliot
Ernest Hemingways writing style is characterized by which of the following?,understatement and terseness,biting wit and sarcasm,flowing imagery,sentimentality,understatement and terseness
The Call of the Wild and The Sea Wolf are novels by John Steinbeck.,False,False,True,,
"Langston Hughes wrote poetry, plays, and novels.",True,True,False,,
Some of Willa Cathers novels deal with frontier life on the Great Plains.,True,True,False,,
A major theme of The Great Gatsby is the corruption of American innocence through the pursuit of wealth.,True,False,True,,
"Rabbit, Run and The Centaur were both written by Bernard Malamud.",False,False,True,,
"I am in a dark room. I have a candle, a wood stove, a gas lamp and a match to light, which all can drive away darkness. What to light first?",The match,The candle,The wood stove,The gas lamp,The match
"In the title The Man from U.N.C.L.E., U.N.C.L.E. stands for United Nations Control for Law Enforcement.",False,False,True,,
What secret organization did U.N.C.L.E. battle on the TV show The Man from U.N.C.L.E.?,THRUSH,THRUSH,KAOS,SPECTRE,GALAXY
"In The Man from U.N.C.L.E., THRUSH stands for Technological Hierarchy for the Removal of Undesirables and the Subjugation of Humanity.",True,False,True,,
Where was the secret entrance to the New York offices of U.N.C.L.E. on the TV show The Man from U.N.C.L.E.?,A tailor shop,In times square,A phone booth,A tailor shop,A park fountain
"According to a theory revealed in The Man from U.N.C.L.E. novels, THRUSH was started by Nazi war criminals that had fled to South America.",True,True,False,,
"On The Man from U.N.C.L.E., when at the headquarters all agents had to wear badges. What number was Illya Kuryakins badge?",2,10,2,11,7
What country was Illya Kuryakin from on the TV show The Man from U.N.C.L.E.?,Russia,Austria,Russia,Mongolia,Poland
Every episode of The Man from U.N.C.L.E. had this word in its title.,Affair,Big,Party,The,Affair
What chess piece was on Paladins calling card?,Knight,Queen,Knight,Bishop,Rook
In what city did fictional character Paladin live?,San Francisco,Denver,Kansas City,Dodge City,San Francisco
What was the name of Paladins favorite bellhop at the hotel?,Hey Boy,Kam Fong,Hey Boy,Chin Ho,Hey You
What was Paladins first name on the show Have Gun â Will Travel?,None of these,Joe,Charles,Raymond,None of these
How much did Paladin typically charge for his services?,"$1,000",Different for each case,$100 a day,"$1,000",$500 + expenses
Where did Paladin get his education?,West Point,Harvard,Oxford,West Point,School of Hard Knocks
What did Paladin carry in his boot when he was traveling?,Fine cigars,Derringer,Extra cash,Fine cigars,Bowie knife
"When visiting India, what did Paladin do that made the natives respect him?",killed a man-eating tiger,killed a man-eating tiger,took his shoes off when he entered the Taj Mahal,saved the life of the princess,saved the life of a native
Paladin got into the gunfighting business while trying to settle a gambling debt.,True,False,True,,
"What on earth could dance, and live and die?",Fire,Water,Wind,Fire,Darkness
Whats as big as the biggest camel and weighs nothing at all?,shadow,wind,shadow,water,air
What kind of camel can jump higher than a tree?,any kind of camel,no camel,a leaping camel,a frog camel,any kind of camel
"Golden treasure am I, guarded by hundreds and thousands of armed guards. I am stored in a labyrinth where no man can walk, yet men often come to steal my gold. What am I?",honey,none of these,golden jewelery,honey,gold
"They do not have feathers, or flesh, or scale, or bone. Yet they have fingers and thumbs of their own. What are they?",gloves,polar bear,gloves,eel,boxing
"Gleaming and glittering down I thrust a sparkling spear, I never rust. What am I?",icicle,spear,stalagmite,icicle,horn
Each morning I appear ,Your shadow,Your shadow,A doppelganger,An apparition,Someone Elses shadow
"Im one of five, and Im not alive.",A stone,A rock,A banana,A boulder,A stone
I am related to the water but I am not wet.,a mirror,gold,a mirror,a bed,shiny things
"I have eight to spare, in case I lose my one.",a cat,a cat,one,nine,a dog
In what year was Gene Kelly born?,1912,1914,1912,1916,1910
Who was Gene Kellys co-star in The Pirate?,Judy Garland,Ginger Rodgers,Betty Grable,Frank Sinatra,Judy Garland
What musical film directed by Gene Kelly starred Barbra Streisand?,"Hello, Dolly",Funny Girl,"Hello, Dolly",Funny Lady,Guys and Dolls
What country awarded Gene Kelly the Legion of Honor in 1960?,France,Great Britain,Canada,France,USA
Gene Kelly quit dancing when he was eight and didnt dance again until he was fifteen.,True,True,False,,
American fur trapper Hugh Glass made a cross-country trek after being mauled by a grizzly bear.,True,True,False,,
"John Jacob Astor, the first multi-millionaire in the United States, started out as a fur trader.",True,True,False,,
"In the Webkinz Kinzstyle outlet, what is PJs real name?",Pollie Jean Collie,Penny Jean Collie,None of these,Polly Jane Collie,Pollie Jean Collie
What Kinztunes track starts out: Life on the farm is a life for me. Im a happy piggy with a piggly family...?,Piggy Plum Pie,Just Another Extraordinary Pig,Misunderstood,A Piggy Holiday,Piggy Plum Pie
Kinzcash is the measurement of money in Webkinz World.,True,True,False,,
Webkinz World came up with a new room theme for which event?,2010 FIFA World Cup,The 2008 Olympics,2010 FIFA World Cup,The arrival of Kinztunes,The arrival of Zums
What is the name of the newspaper in Webkinz World?,The Kinzville Times,The Webkinz World Gazette,Webkinz News,None of these,The Kinzville Times
Theres no recess at Kinzville Academy in Webkinz World.,False,True,False,,
The Webkinz signature raccoon comes with what item along with the big city window?,Limo,None of these,Fallen log raccoon tunnel,Pampered paws bathtub,Limo
"In Webkinz World, what is the Red Squirrels favorite food?",Peppermint pinecone,Tree bark truffles,Fluffy tail fajitas,Peppermint pinecone,Nut casserole
Who is the cheerful brown dog at Webkinz Stadium?,Fred Rover,Fido Friendly,None of these,Frank Spaniel,Fred Rover
Which animal is pictured on the front of all Webkinz adoption tags?,A cocker spaniel,A gorilla,A bluffadoodle,A beagle,A cocker spaniel
The tiger is the national animal of which of the following countries?,India,India,Moscow,Israel,Sri Lanka
What did the Tungusic people of Siberia and northern China call the Siberian Tiger?,Both of these,Old Man,None of these,Both of these,Grandfather
What is a group of tigers called?,Streak,Sawt,Pride,Streak,Leap
Tigers like to spend time in pools.,True,True,False,,
Tigers sometimes carry their dead prey across lakes.,False,False,True,,
Tigers cannot easily walk over broken or thorny ground.,True,False,True,,
Do tigers kill other predators?,Yes,Yes,No,,
What is tigers lifespan in the wild?,10-15 years,over 30 years,20-30 years,5-10 years,10-15 years
The Caspian tiger is extinct.,True,True,False,,
The South China tiger is extinct.,False,False,True,,
"Nancy Drews sleuthing sidekicks, Bess Marvin and George Fayne, are of what relation to Nancy?",No relation,Cousins,No relation,Sisters,Nieces
How old was fictional character Nancy Drew when her mother died?,Three years old,Five years old,Seven years old,Her mother died during childbirth,Three years old
What is the profession of Nancy Drews aunt Eloise in New York in the popular book series?,Teacher,Theater Actress,Teacher,Librarian,Detective
"Nancy Drews tall, handsome boyfriend is quite the athlete. In addition to being a football star, Ned Nickerson also plays on the varsity teams of what other two sports at Emerson College?",Baseball and basketball,Basketball and track  field,Baseball and basketball,Baseball and rowing,Track  field and rowing
Nancy Drews boyfriend Ned Nickerson is a member of which fraternity at Emerson College?,Omega Chi Epsilon,Omega Chi Epsilon,Delta Tau Chi,Tau Kappa Epsilon,Sigma Chi
What is the name of the river than runs through Nancy Drews fictional hometown?,Muskoka River,Muskoka River,Mulberry River,Merrimack River,Mississippi River
What is the name of Nancy Drews pet terrier?,Togo,Snowball,Buster,Togo,Max
What color is Nancy Drews convertible?,Blue,Silver,Red,White,Blue
What are the names of Bess Marvins and George Faynes boyfriends in the Nancy Drew stories?,Dave and Burt,They do not have boyfriends.,Dave and Burt,Curt and Dave,Robert and David
Nancy Drew often used aliases when solving mysteries. Which of the following is NOT an alias that was used by Nancy?,Anna Martin,Debbie Lynbrook,Anna Martin,Dru Gruen,Irene Insbruck
Which of the following is NOT a villain in one of the Nancy Drew Mystery Stories?,Dick Milton,Bushy Trott,Nathan Gomber,Dick Milton,Stumpy Dowd
Who is the director of the 2007 movie Redline?,Andy Cheng,George Lucas,Mel Gibson,Peter Jackson,Andy Cheng
What make and model of car was impounded by the police in the movie Redline?,Ford GT,Ford GT,Rolls-Royce Phantom,Lamborghini Diablo,Mercedes-Benz McLaren SLR
Which of these cars does not appear in the film Redline?,Bugatti Veyron,Koenigsegg CCX,Bugatti Veyron,Ferrari Enzo,Porsche Carrera GT
In what car does Jason pick up Carlo from the bus station in the movie Redline?,Ferrari F430 Spider,Shelby Cobra,Lamborghini Murcielago Roadster,Lamborghini Gallardo Spider,Ferrari F430 Spider
What car was wrecked accidentally by a cast member of the movie Redline?,Ferrari Enzo,Saleen S7,Koenigsegg CCX,Lamborghini Murcielago,Ferrari Enzo
Which car wins the final race in the movie Redline?,Saleen S7,Saleen S7,Mercedes-Benz McLaren SLR,Ferrari Enzo,Porsche Carrera GT
What is Nat short for in Nats Garage as seen in the movie Redline?,Natasha,Natasha,Natalie,Nathaniel,Nate
What car is Jason killed in when it explodes in the 2007 movie Redline?,Lamborghini Diablo,Lamborghini Diablo,Ferrari 360 Modena,Ferrari Enzo,Corvette C5
Who owns the car that wins the final race in the film Redline?,Brecken,Brecken,Michael,Infamous,Cheng
"Besides English, Audrey Hepburn was fluent in this language.",all of them,Spanish,Italian,all of them,French
Audrey Hepburn never thought she was beautiful. She told People Magazine that she was very self-conscious about which of the following?,her feet,her nose,her lips,her breasts,her feet
Audrey Hepburn was 17 when she appeared in her first film.,False,False,True,,
Audrey Hepburns parents were members of the British Union of Fascists.,True,True,False,,
Audrey Hepburn was born in a poor family.,False,True,False,,
The movie Robin and Marian starred Audrey Hepburn as maid Marian. Who played Robin Hood?,Sean Connery,Sean Connery,Robert Shaw,Errol Flynn,Richard Harris
Audrey Hepburns final film appearance was in Always. Who directed the movie?,Steven Spielberg,Ron Howard,Billy Wilder,Steven Spielberg,William Wyler
In what US state was magician David Copperfield born?,New Jersey,New York,Ohio,New Jersey,California
David Copperfield adopted his stage name from the Charles Dickens novel of the same name.,True,True,False,,
Which of the following is among David Copperfields illusions?,All of these,Making the Statue of Liberty disappear,Walking through the Great Wall of China,All of these,Levitating over the Grand Canyon
David Copperfield made his Broadway show Dreams  Nightmares in collaboration with Francis Ford Coppola.,True,False,True,,
David Copperfield founded Project Magic to help gifted children around the world.,False,False,True,,
"In the early 1990s, illusionist David Copperfield set a record for the largest private collection of magic artifacts.",True,True,False,,
In 2006 David Copperfield bought eleven islands which belong to what group of islands?,Bahamas,the Canary Islands,Barbados,Bahamas,the Cayman Islands
"In 1984 David Copperfield had an accident, while rehearsing this illusion.",Escape from Death,Levitating over the Grand Canyon,walking through the Great Wall of China,Flying,Escape from Death
What supermodel was engaged to David Copperfield in the 1990s?,Claudia Schiffer,Linda Evangelista,Cindy Crawford,Claudia Schiffer,Laetitia Casta
Who was the special guest in the 1991 TV special The Magic of David Copperfield XIII âMystery On The Orient Expressâ?,Jane Seymour,Jane Seymour,Carson Daly,Lisa Hartman,Kim Alexis
The song Strong Enough was just that and more in 1995 for this female artist.,Sheryl Crow,Natalie Merchant,Melissa Etheridge,Vanessa Williams,Sheryl Crow
As I Lay Me Down was the only substantial hit ever for this singer in 1995.,Sophie B. Hawkins,Annie Lennox,Crystal Waters,Mary J. Blige,Sophie B. Hawkins
Who had a hit in 1995 with the song Gangstas Paradise?,Coolio,Snoop Dogg,LL Cool J,Dr. Dre,Coolio
Have You Ever Really Loved a Woman? was a big hit song for this popular singer in 1995.,Bryan Adams,Bryan Adams,Seal,Meat Loaf,Prince
Singer Seal had a big hit song in 1995 with which one of the following songs?,Kiss From a Rose,Violet,Crazy,Kiss From a Rose,Fly Like an Eagle
Decode the name of this fruit:,Nectarine,Nernatice,Ratennice,Centarine,Nectarine
What is Vanessa doing when we first see her in Bee Movie?,Playing tennis,Playing tennis,Riding a bike,Drinking coffee,None of these
Fill in the missing word in this quote from Bee Movie.            ,Jesus,Picasso,None of these,Jim Carrey,Jesus
Who voices Barry in Bee Movie?,Jerry Seinfield,None of These,Ray Romano,Antonio Banderas,Jerry Seinfield
"In Bee Movie, Barry is an ordinary bee in a hive, located in this city.",New York City,San Francisco,New York City,Chicago,Los Angeles
"In Bee Movie, what are the bees that collect nectar called?",Pollen jocks,Nectar marines,None of these,Pollen jocks,Pollen warriors
Who voices Vanessa in Bee Movie?,Renee Zellweger,Jennifer Garner,Renee Zellweger,None of these,Angelina Jolie
All flowers die in Bee Movie.,False,False,True,,
What is the name of Barrys best friend in Bee Movie?,Adam,Adam,Gary,Sammy,None of these
Who wrote the book In a Free State?,V. S. Naipaul,Sidney Sheldon,V. S. Naipaul,R. K. Narayan,Rudyard Kipling
Who wrote the 2006 novel The Inheritance of Loss?,Kiran Desai,Khushwant Singh,Jawahar Lal Nehru,Kiran Desai,Arundhati Roy
Who wrote the novel The White Tiger which was published in 2008?,Arvind Adiga,Arvind Adiga,John Milton,Leo Tolstoy,V. S. Naipaul
Who wrote the 19th century novel Ben Hur?,Lew Wallace,Lew Wallace,Karl Marx,Rousseau,G. B. Shaw
Who wrote the play Man and Superman?,G. B. Shaw,Sidney Sheldon,Rousseau,G. B. Shaw,Karl Marx
Both Harry Potter and Neville Longbottom fit the prophecy.,True,True,False,,
Is fictional character Charlie Weasley fascinated by muggle artifacts?,No,No,Yes,,
Which of the following Harry Potter characters does NOT have black or brown hair?,Luna Lovegood,Luna Lovegood,Sirius Black,Bellatrix Lestrange,Hermione Granger
All of the Defence Against the Dark Arts professors have died by the end of the Harry Potter series.,False,True,False,,
When is Draco Malfoys birthday?,None of these,None of these,November 13th,January 22nd,May 1st
Which of the following Harry Potter characters does not wear glasses?,Lily Potter,Rita Skeeter,Arthur Weasley,Percy Weasley,Lily Potter
"David Berkowitz held New York City in a reign of terror from July 1976 to August 1977. He murdered or wounded thirteen people, most of whom were young couples sitting in cars. Berkowitz was captured after the murders of Stacy Moskowitz and Robert Violante. What finally tripped up the Son of Sam killer?",Parking ticket,Fingerprint,Complaint from next door neighbor,Picked up shoplifting,Parking ticket
"Although this doctor was found guilty of the murder of his wife Marilyn, ten years later a young lawyer by the name of F Lee Bailey  and a ruling by the United States Supreme Court helped win the doctor his freedom. Which defendant always insisted his wifes murder was committed by a bushy-haired intruder?",Sam Sheppard,T. Cullen Davis,Sam Sheppard,Jeffrey MacDonald,Vince Edwards
"The fact that Catherine Lorre was the daughter of actor Peter Lorre was the saving grace that kept her from becoming one of the ten women/girls that were raped and murdered above the hills of Los Angels, CA. In a four month span, Angelo Buono, Jr and Kenneth Bianchi were found guilty of the kidnappings, murders and torture of these ten women. By what name did the media dub these brutal murderers?",Hillside Strangler,Hillside Strangler,The Green River Killer,The Family,The Truro Murderers
Who provides the voice of Alex the Lion in the Madagascar movies?,Ben Stiller,Ben Stiller,Dustin Hoffman,Will Smith,Brad Pitt
Who voices Tigris in the movie Kung Fu Panda?,Angelina Jolie,Cameron Diaz,Jennifer Garner,Angelina Jolie,Anne Hathaway
Who portrays Penny in the movie Bolt?,Miley Cyrus,Miley Cyrus,Selena Gomez,Hillary Duff,Kristen Stewart
Who plays Edward in the Twilight series?,Robert Pattinson,Zac Effron,Justin Timberlake,Robert Pattinson,Tom Cruise
Who voices Lenny in the 2004 comedy movie Shark Tale?,Jack Black,Martin Laurence,Jack Black,Tim Allen,Steve Carell
Who voices Princess Fiona in the Shrek movies?,Cameron Diaz,Cameron Diaz,Julie Andrews,Mariah Carey,Kelly Clarkson
Who plays Harry in the Harry Potter movies?,Daniel Radcliffe,Logan Henderson,Tom Felton,Daniel Radcliffe,Jason Earles
Who plays Count Olaf in the black comedy Lemony Snickets A Series of Unfortunate Events?,Jim Carrey,Eddie Murphy,Steve Carell,Mike Meyers,Jim Carrey
Who portrays Captain Jack Sparrow in Pirates of the Caribbean?,Johny Depp,Orlando Bloom,Will Smith,None of these,Johny Depp
Who stars as Tom in the movie Cheaper by the Dozen?,Steve Martin,Jim Carrey,Tom Hanks,Steve Martin,Tim Allen
Who wrote A Week with Gandhi?,Louis Fischer,Sir John Hunt,Louis Fischer,E. M. Foster,Jawahar Lal Nehru
Who is the author of Ain-i-Akbari?,Abul Fazal,Tulsidas,R. K. Narayan,Jaidev,Abul Fazal
Who wrote the allegorical novella Animal Farm?,George Orwell,George Orwell,Pearl S. Buck,Lewis Wallace,Karl Marx
"Who wrote Lolita, one of the most controversial novels of the 20th century?",Vladimir Nabakov,Vladimir Nabakov,Premchand,Pt. Vishnu Sharma,Bana Bhatt
Name the renowned classical Sanskrit author who wrote Abhijnanashakuntala (Of Shakuntala recognised by a token)?,Kalidas,Kalidas,Vedvyas,Tulsidas,Surdas
Who wrote the romantic Sanskrit novel Kadambari?,Bana Bhatt,Jaidev,Bana Bhatt,Vedvyas,Premchand
