question,answer,A,B,C,D
Which of these actresses was a leading lady in a Woody Allens film?,All of these,Louise Lassiter,Diane Weist,Diane Keaton,All of these
"In what Woody Allen film does Mia Farrow star as a love-starved, Depression era housewife?",The Purple Rose of Cairo,Curse of the Jade Scorpion,Broadway Danny Rose,Alice,The Purple Rose of Cairo
Which of these is a Woody Allen film set in the future?,Sleeper,Manhatten,Sleeper,"Pussycat, Pussycat",Love and Death
Which of the following is a book by Woody Allen?,Getting Even,A Standing Ovation,Getting Even,On Being Funny,All of these
Which of these is a Woody Allen film set during the Napoleonic Wars?,Love and Death,Stardust Memories,Take the Money and Run,Love and Death,Interiors
Which film of these is a Woody Allen film concerning a revolution in a small Central American country?,Bananas,Spinal Tap,Bananas,Stardust memories,Scoop
Which of these character names was used by Allen in a film?,All of these,Miles Monroe,Virgil Starkwell,All of these,Fielding Mellish
Which of the following statements about William Shatner is true?,"William Shatner was born 3/22/1931 in Montreal, Quebec, Canada.","William Shatner was born 3/22/1931 in Toronto, Ottawa, Canada.","William Shatner was born 4/22/1941 in Boston, Massachusetts, USA.","William Shatner was born 3/12/1921 in Quebec City, Quebec, Canada.","William Shatner was born 3/22/1931 in Montreal, Quebec, Canada."
From which famous university did William Shatner graduate?,McGill,Notre Dame,Harvard,Simon Fraser,McGill
William Shatner had a role on the kids TV show Howdy Doody.,True,True,False,,
Which of these was William Shatnerâs first major film?,"The Brothers Karamazov with Yul Brenner, 1958.","Oedipus Rex with Christopher Plummer, 1959","The Intruder with James Mason, 1962","The Hunter with lee Marvin,1960","The Brothers Karamazov with Yul Brenner, 1958."
"How many previous wives did William Shatner have, before he married Elizabeth A. Martin?",3,2,4,3,5
Which of these is known to be one of William Shatners hobbies?,He breeds and shows quarter horses from his Kentucky farm,He breeds and shows Labradors from his farm in British Columbia,He breeds and shows Saint Bernards from his Massachusetts farm.,He breeds and shows quarter horses from his Kentucky farm,He breeds and shows Arabians from his California farm.
What part did William Shatner have in the 1996 film Fly Away Home?,He was the CEO of the firm that did the special effects.,He was the CEO of the firm that did the special effects.,He was the narrator in the movie.,He co-starred with Jeff Daniels and Dana Delaney.,He had a cameo appearance in the final scene.
What does the adjective Shaternian refer to?,"A clipped, dramatic narration with many dramatic pauses",A celebrity life in which one is totally identified with one particular role,An attitude best described as self-centered and egotistical,"A clipped, dramatic narration with many dramatic pauses",A life in which one is involved with dozens of vocations
What is the middle name of Captain James Kirk who was portrayed by William Shatner in,Tiberius,Tavarian,Thresher,Thornton,Tiberius
"In the popular Star Trek series, who played the Captain of the Enterprise for one episode before William Shatner took the role?",Jeffrey Hunter,Leonard Nimoy,Jeff Daniels,Jeffrey Hunter,William Shatner
Which statement about William Shatner is false?,Shatner has never done his own stunts in a movie.,Shatner is a vegetarian.,Shatner has never done his own stunts in a movie.,Shatners rendition of Lucy in the Sky with Diamonds was voted the worst rendition of a Beatles song (2003).,Shatner recorded a spoken version of Hey Mr. Tambourine Man.
William Shatner was involved in the first interracial kiss on TV.,True,True,False,,
Ashley Judd got her start playing a supporting role on Star Trek: The Next Generation.,True,True,False,,
"Ashley Judd attended the University of Kentucky, where she majored in what subject?",French,Biochemistry,French,Physics,Spanish
Which actor co-starred with Ashley Judd in the movies Kiss the Girls and High Crimes?,Morgan Freeman,Morgan Freeman,Ewan McGregor,James Caviezel,Ashton Kutcher
Did Ashley Judd have a role in Natural Born Killers?,Yes,Yes,No,,
"Naomi Judd, Ashley Judds mother mom, has stated that she doesnt like some of her daughters movies.",True,True,False,,
Ashley Judd is an etymologist.,True,True,False,,
What year was John Wayne born?,1907,1909,1905,1903,1907
John Wayne played football for what California university?,USC,Fresno State,UCLA,Stanford,USC
Did John Wayne ever appear in a silent movie?,Yes,No,Yes,,
What was the name of the 1939 John Ford film that made John Wayne a bonified star?,Stagecoach,Fort Apache,Flying Tigers,Stagecoach,The Fighting Seabees
"John Wayne was eager to get the role of Jimmy Ringo in the 1950 film The Gunfighter, but the role went to this actor instead.",Gregory Peck,Kirk Douglas,Humphrey Bogart,Gregory Peck,Clark Gable
"In which movie did an infamous gunslinger, played by John Wayne, say, Im looking at a tin star with a ... DRUNK pinned on it.?",El Dorado,She Wore a Yellow Ribbon,The Green Berets,The Searchers,El Dorado
John Wayne won the Academy Award for Best Actor for his portrayal of U.S. Marshal Rooster Cogburn in this movie.,True Grit,The Man Who Shot Liberty Valance,The Green Berrets,True Grit,The Shootist
What was the cause of John Waynes death?,stomach cancer,none of these,lung cancer,prostate cancer,stomach cancer
"This entertainer is considered one of the most influential jazz musicians. His first two names are  Edward Kennedy. He was born in Washington, D.C. in 1899. Who was this great composer/pianist/band leader?",Duke Ellington,Count Basie,Duke Ellington,E.K. Capitol  Dibbs,Willie Bobo
"This entertainer was born in what is now Belarus but came to the USA when he was about 5. He began his career as a singing waiter in NYCs Chinatown. He soon started writing his own songs. Some of his  hits were White Christmas, Blue Skies, and I Like Ike. Who was this great composer?",Irving Berlin,George Gershwin,Ira Gershwin,Hoagy Carmichael,Irving Berlin
This husband and  wife duo and was one of  the top dancing teams of their time. He was born in Europe   but they attained fame in the USA. They were famous for introducing American dance styles to the rest of the world. They were also popular in movies and in Broadway shows.,Vernon and Irene Castle,Andy and Gretchen Springer,Vernon and Irene Castle,Fred and Adele Astaire,Jacqueline and Harold Nicholas
This actor/singer/dancer/choreographer/impresario/musician was the most talented part of a family act in vaudeville. Although he and his family claimed he was Born on the Fourth of July his birthday was July 3. He wrote more than 50 Broadway musicals. James Cagney portrayed him in a famous biopic.,George M. Cohan,Oscar  Hammerstein,Bert Williams,George M. Cohan,Richard Rogers
This entertainer is generally considered the most influential female singer in Cuban music. She was born in Havana in 1925 and was famous for her hit  albums with Tito Puente.,Celia Cruz,Latrella Silva-Ramos,Suzana Hernandez -Ramirez,Celia Cruz,Euniece Zuniga
This trumpeter was one of the leaders of the Bebop jazz genre. Bitches Brew  and Sketches of Spain were his most famous albums. He won 9 Grammys and countless other awards.,Miles Davis,Dizzy Gillespie,John Coltrane,Jack Teagarden,Miles Davis
"This Prussian-born musician/impresario began as a cigar manufacturer. In 1899 he built his first music venue in New York City. It was the first of many. He, his sons and grandsons formed a dynasty that was very influential in American entertainment.",Oscar Hammerstein,George M. Cohan,Oscar Hammerstein,Irving Berlin,Bert Williams
He was an important part of the quartet that integrated jazz. He played the vibes and the drums with several groups.,Lionel Hampton,Benny Goodman,Lionel Hampton,Teddy Wilson,Gene Krupa
"He was called The Father of the Blues and was famous for playing on Beale Street in Memphis, Tennessee.",W.C.Handy,Louis Armstrong,Albert King,B.B.King,W.C.Handy
This great tenor sax player was usually photographed wearing a pork-pie hat. His signature song was Body and Soul.,Coleman Hawkins,Coleman Hawkins,Jack  Arnett,Lester Young,Lionel Hampton
This German-born cellist came to the USA to play with the Metropolitan Opera and then began writing his own operettas. He wrote The Naughty Marietta in 1910.,Victor Herbet,Victor Wertz,Herbert  Block,Victor Herbet,Herbert Lom
He played vibes for the Modern Jazz Quartet.,Milt Jackson,Ralph Bellamy,Slide Hampton,Milt Jackson,Jack Gerard
"He was a great tenor sax  player whose best work was with the Cab Calloway Orchestra. He played a famous solo in the movie Stormy Weather that featured Lena Horne. Although his first name was Jean Baptiste, he  preferred his middle name.",Illinois Jacquet,Illinois Jacquet,Victor Herbert,Frankie Frisch,Foster Brooks
"He was a fine movie actor who had significant roles in Cry, the Beloved Country and Lifeboat. He was  also a civil rights leader in the 1930s and 1940s.",Canada Lee,Gates Nelson,Eugene  Robinson,Rex  Ingram,Canada Lee
"Yes, there are many great tap dancers but when tap dancers talk about the greatest  they always mention this dancer and his brother, Fayard.",Harold Nichols,DeBradley Simmons,Harold Nichols,Steps  Ryan,Bill Robinson
"What do the following people have in common: Duke Ellington, Ira Gershwin, Vernon and Irene Castle, George M. Cohan, Celia Cruz, Miles Davis, Oscar Hammerstein, Lionel Hampton, W.C.Handy,  Coleman Hawkins, Victor Herbet, Milt Jackson, Illinois Jacquet, Canada Lee, Harold Nichols?","They are all in The Bronx, New York.",They all were called at the McCarthy hearings.,They were all given the Presidential Medal of Freedom.,"They are all in The Bronx, New York.","They all performed in the Kenndedy center in Washington, D.C."
"The main character in the film The Believer, played by Ryan Gosling, belongs to what group?",Neo-Nazis,KKK,Neo-Nazis,The Bloods,The Hells Angels
Ryan Gosling was part of the notorious crew of the Micky Mouse Club.,True,True,False,,
Ryan Gosling starred in what 1998 TV series?,Young Hercules,Young Zeus,Young Hercules,Young Frankenstein,Young Achilles
Ryan Gosling started a relationship with fellow Canadian star Rachel McAdams.,True,False,True,,
"In 2007, Ryan Gosling was nominated for a Golden Globe and a Screen Actors Guild Award.",False,True,False,,
Who is Orlando Blooms biological father?,Colin Stone,Harry Bloom,Brian Bloom,Colin Stone,Johnny Depp
Orlando Bloom is an only child.,False,True,False,,
Which of these did Orlando Bloom break while shooting a scene of the movie The Lord of the Rings?,Rib,Rib,Back,Legs,Neck
Orlando Bloom has mild dyslexia.,True,False,True,,
Which one of these Orlando Bloom movies came out first?,Wilde,Black Hawk Down,Ned Kelly,Lord of the Rings,Wilde
Orlando Blooms first name is Jonathan.,False,True,False,,
Which of these movies has Orlando Bloom NOT appeared in?,Clerks,The Calcium Kid,Elizabethtown,Clerks,Haven
Orlando Bloom has stated that his favorite food is steak.,False,False,True,,
In what year was Orlando Bloom born?,1977,1977,1976,1978,1979
In 1998 Orlando Bloom broke his back while skiing.,False,True,False,,
"Lloyd Bridges, Beau Bridges, Cindy Bridges and Jeff Bridges were all born and raised in California.",True,False,True,,
What was Lloyd Bridges full name at birth?,"Lloyd Vernet Bridges, Jr.",Lawrence Thomas Vernet,"Lloyd Vernet Bridges, Jr.","Thomas Lloyd Wilson, Jr.",Leslie William Bridges
"In 1914, when he was one year old, Lloyd Bridges won a Fat Baby contest. The man who gave him the  prize is known as the most obese American President. Who is he?",W.H. Taft,W.H. Taft,Woodrow Wilson,Warren G. Harding,William McKinley
"This series, that ran on CBS from 1958-1961, was one of Lloyd Bridges biggest TV hits.",Sea Hunt,Sea Hunt,Platoon,Sea Explorer,Combat
"Lloyd Bridges, Beau Bridges, Jeff Bridges and Cindy Bridges all appeared on the TV show Sea Hunt.",False,False,True,,
"In what year was Lloyd Bridges first movie, Freshman Love, released?",1936,1936,1946,1926,1940
"This movie, starring Lloyd Bridges, Humphrey Bogart and Rex Ingram, is about an allied tank crew that captures a German battalion in WWII.",Sahara,A Walk in the Sun,The Brave Ones,Sahara,The Tank Crew
In 1945 Lloyd Bridges starred in a WWII movie about an American infantry platoon assigned to take over an Italian building. What is the name of this movie?,A Walk in the Sun,"Over Hill, Over Dale",A Walk in the Sun,The Bloody Day,The Brave Ones
"Which statement is true about the 1949 movie Home of the Brave, starring Lloyd Bridges?",It centered on a group of soldiers during  the Korean conflict.,It centered on a group of soldiers during  the Korean conflict.,It was about the physical effects war can have on soldiers.,It was about a team of Marines assigned to defend the Philippines during WWII.,It starred Gregory Peck and Richard Boone.
Lloyd Bridges appeared in two episodes of Seinfeld. What two jobs did his character have on the show?,trainer and owner of a crepe restaurant,trainer and owner of a crepe restaurant,owner of a used car lot and a trainer,cigar maker and trainer,owner of a used car lot and the manager of a condo in Florida
"What is the title of the Aerosmith album which included the timeless hit, Dream On?",Aerosmith,Night in the Ruts,Get Your Wings,Aerosmith,Toys in the Attic
"Born Stephen Tallarico on March 26, 1948, Steven Tyler is the frontman for the Bad Boys of Boston, Aerosmith. Where was Steven born?","Yonkers, NY","Concord, NH","Boston, MA","Foxboro, MA","Yonkers, NY"
"Known for their excessive drug use in the early years, Steven Tyler and Joe Perry at one time were branded with what unflattering nickname?",Toxic Twins,Got their wings,Drunk and Drunker,Toxic Twins,Druggie Duo
"After becoming clean, Aerosmith started recording album after album. The sound became crisp, clean, and hard. The tours were amazing. Steven was a one-man-wrecking ball. They experienced an unheard-of success. So much so that on February 21, 1990, they were invited to appear and perform on Saturday Night Live, where they blew the roof off the joint. What skit, which later became a movie, did they appear in?",Waynes World,Blues Brothers,Waynes World,Fire Marshall Bill,Wild and Crazy Guys
"Steven Tyler, Joe Perry, Brad Whitford, Tom Hamilton, and Joey Kramer have been the main members of Aerosmith for over 30 years. However, at times, certain band-members would take time away, and other musicians would fill in the gap. The other 3 musicians who played in the band are, Ray Tabano, Rick Dufay, and who else?",Jimmy Crespo,Jimmy Crespo,Sammy Hagar,Dave Mustaine,Mike Rizzitello
"The single, Walking the Dog, was originally recorded by which of the following artists?",Rufus Thomas,Rufus Thomas,BB King,Rolling Stones,Aerosmith
Monkey on my Back is a song from this Aerosmith album that won Grammys and MTV Music Awards.,Pump,Nine Lives,Permanent Vacation,Pump,Get a Grip
"Which member of Aerosmith recorded the solo album titled, Let the Music Do the Talking?",Joe Perry,Brad Whitford,Steven Tyler,Joe Perry,Tom Hamilton
"In 2004, Aerosmith released Honkin on Bobo, a blues-influenced album with many covers. Baby, Please Dont Go and You Gotta Move are perhaps the most well known. Which track on this album has Joe Perry on the vocals and Steven Tyler playing the harmonica?",Stop Messin Around,The Grind,Stop Messin Around,Road Runner,You Gotta Move
What state was actor Patrick Swayze born in?,Texas,New York,North Carolina,Virginia,Texas
What is the birth  name of Chevy Chase?,Cornelius Crane Chase,none of these,Cornelius Crane Chase,Chevelle Crane Chase,Charlie John Chase
What year was Chevy Chase born?,1943,1945,1946,1943,1940
Chevy Chase had his own late night talk show in the 1990s.,True,False,True,,
Chevy Chase turned down a role in National Lampoons Animal House.,True,True,False,,
Which Chevy Chase movie was released first?,Caddy Shack,Fletch,Caddy Shack,National Lampoons Vacation,Three Amigos!
Chevy Chase appeared in a commercial aired during the Super Bowl in 1993. What was the commercial for?,Doritos,Pepsi,Doritos,Bud Light,none of these
Which of the following movies did Chevy Chase not appear in?,Groundhog Day,Oh Heavenly Dog,Groundhog Day,Funny Farm,Spies Like Us
When was Emmy-winning American actor William Hall Macy born?,3/13/1950,3/13/1955,3/13/1953,3/13/1956,3/13/1950
Into which professional field did actor William H. Macy originally wish to enter ?,Veterinary medicine,Banking,Construction,Halways wanted to be an actor,Veterinary medicine
Which famous person did William H. Macy meet at Goddard College?,David Mamet,David Mamet,Steven Sondderburgh,Robert Ernshaw,Judd Hirsch
"In 2006, William H. Macy played the role of Senator Ortolan K. Finistirre in which movie?",Thank You for Smoking,Prime,The 30 Year Old Virgin,Thank You for Smoking,Syrianna
"In 2003, William Macy participated in Seabiscuit. What was his part in the movie?",Tick Tock  McGlaughlin,Tick Tock  McGlaughlin,Johnny  Red Cochran,Tommy  The Voice Coyle,Tom Tom Edwards
"In 2002, William H. Macywon many awards for playing Bill Porter, a door-to-door salesman. What was unique about this salesman?",He had cerebral palsy.,He was mentally retarded.,He was deaf.,He had cerebral palsy.,He was blind.
What is the name of the 2002 TV movie in which William H. Macy played the role of the door-to-door salesman Bill Porter?,Door to Door,Indefatigable,The Door to Door Salesman,A Foot in the Door,Door to Door
Which statement about Emmy-winning American actor William H. Macy is true?,He was in Jurassic Park III.,He played in The Lost World: Jurassic Park,He had a role in the first Jurassic Park movie.,He was in Jurassic Park III.,He was never in a Jurassic Park movie.
In 1998 William H. Macy participated in a John Travolta movie. What was the movie about?,A law suit against a firm that dumped hazardous waste.,A law suit against the government agency that was supposed to protect the public.,A rogue Navy SEAL that steal several nuclear warheads and wants to sell them to the highest bidder.,A mobster that is able to switch his face with that of another person.,A law suit against a firm that dumped hazardous waste.
"Although his friends call William H. Macy Bill he could not use Bill Macy as his stage name because there already was a Bill Macy - an actor best known for his portrayal of Walter Findlay, the long-suffering husband of what popular sitcom character?",Maude,Edith,Rhoda,Maude,Betty
What US rock band has a song called I Shot William H. Macy.?,Head Automatica,Head Shapers,Pure Essence,Purple Essence,Head Automatica
"In 1983 William H. Macy, Giancarlo Esposito, Camryn Manheim, and Kristen Johnston formed an acting school and working company in New York City. What is its name?",Atlantic Theater Company,South Street Players,The Tribeca Theater Compnay,The Soho Theater Group,Atlantic Theater Company
"What is the name of Scarlett Johanssons twin brother, also an actor?",Hunter,Jason,Romeo,Steven,Hunter
Which of these great musicians had an identical twin brother who passed away as a baby?,Elvis Presley,Elvis Presley,Madonna,Cher,Elton John
How did Justin Timberlakes twin sister pass away?,At birth,In a car crash,At birth,She committed suicide,She fell off a tree
What is the name of actor Ashton Kutchers twin brother?,Michael,Christopher,Henry,Michael,George
Where were Aaron Carter and his twin sister Angel born?,Florida,California,South Dakota,Florida,Kentucky
"Of what mixed descent are Mark Sinclair Vincent, a.k.a Vin Diesel, and his twin brother Paul?",Italian and black,Italian and black,Irish and Greek,Russian and German,South African and Chinese
In what country were Isabella Rossellini and her twin sister Ingrid Rossellini born on 18 June 1952?,Italy,France,Italy,United States,Germany
What is the name of the English film and stage actor Joseph Fiennes twin brother?,Jacob,Benjamin,Noah,Jordan,Jacob
Which of these great female musicians has a twin brother?,Alanis Morissette,Janis Joplin,Celine Dion,Chaka Khan,Alanis Morissette
What Academy Award-winning actress starred alongside Johnny Depp in the 2004 movie Finding Neverland?,Kate Winslet,Nicole Kidman,Kate Winslet,Charlize Theron,Reese Witherspoon
In what 2003 movie did Johnny Depp portray CIA agent Sheldon Sands?,Once Upon a Time in Mexico,Once Upon a Time in Mexico,Lost in La Mancha,Happily Ever After,The Ninth Gate
What was the tagline of the 2000 movie Chocolat starring Juliette Binoche and Johnny Depp?,Sinfully delicious,Sweeter than ever,Give in to the temptation...,Let it melt in your mouth.,Sinfully delicious
"In what movie does Johnny Depps character, Axel, have a dream about an Eskimo catching a rare halibut and bringing it back to his family in the igloo?",Arizona Dream,Arizona Dream,The Astronauts Wife,A Nightmare on Elm Street,Edward Scissorhands
"What song by Bryan Adams was featured on the soundtrack of the 1995 movie Don Juan DeMarco, starring Johnny Depp?",Have You Ever Really Loved a Woman?,Youre Still Beautiful to Me,Have You Ever Really Loved a Woman?,Lets Make a Night to Remember,Ill Always Be Right There
"Who is supposed to be killed in a snuff film in the 1997 movie The Brave, directed by and starring Johnny Depp?",Raphael,Raphaels brother,Raphaels wife,Raphaels children,Raphael
What Academy Award-nominated actor played Johnny Depps mentally handicapped brother Arnie in the 1993 drama movie Whats Eating Gilbert Grape?,Leonardo DiCaprio,Tobey Maguire,Ben Afleck,Leonardo DiCaprio,Jim Carrey
"What actor was considered for the role of Ichabod Crane in Sleepy Hollow, which was eventually given to Johnny Depp?",All of these,Brad Pitt,Daniel Day-Lewis,Liam Neeson,All of these
"This 1981 concept album was, in terms of sales and overall acclaim, a low point in KISS long career.  The album alienated fans and led to the departure of guitarist Ace Frehley.",The Elder,Carnival of Souls,Creatures of the Night,The Elder,Destroyer
What is the title of the 1983 KISS song from the sound clip?,Lick It Up,Detroit Rock City,Hard Luck Woman,Heavens On Fire,Lick It Up
"The album Rock and Roll Over contained the hits Hard Luck Woman, a song originally intended for Rod Stewart, and this Gene Simmons track featured in the sound clip.",Calling Dr. Love,Calling Dr. Love,Cold Gin,Strutter,God of Thunder
"When the song featured in the sound clip was released, KISS was still wearing their trademark makeup.",False,True,False,,
Which KISS song is about a real fan who was killed in a car accident on his way to a KISS concert?,Detroit Rock City,Shout It Out Loud,Flaming Youth,Detroit Rock City,King of the Night Time World
Which statement about Don Cheadle is true?,"Don Cheadle was born 11/29/1964 in Kaknsas City, Mo., went  to High School in Colorado and graduated  the California Institute of the Arts.","Don Cheadle was born 11/29/1964 in Kaknsas City, Mo., went  to High School in Colorado and graduated  the California Institute of the Arts.","Don Cheadle was born 11/29/1974 in Los Angeles, CA., went  to High School in Phoenix, and graduated from UCLA.","Don Cheadle was born 11/29/1970 in Brooklyn, NY., went  to High School in Los Angeles, and graduated from San Diego State University.","Don Cheadle was born 11/29/1972 in Houston, TX., went to High School in Galveston, and graduated from Northwestern University."
In 1987 Don Cheadle starred as Pvt. Washburn in this movie about Vietnam.,Hamburger Hill,Platoon,Pork Chop Hill,Full Metal Jacket,Hamburger Hill
Which statement concerning Don Cheadle is untrue?,Don Cheadle plays the piano.,Don Cheadle began his career as a dancer.,Don Cheadle used to work as a stand-up comic.,Don Cheadle is an expert at Go.,Don Cheadle plays the piano.
"In 1995 Don Cheadle was in this movie about a private detective in Los Angeles, starring Denzel Washington.",Devil in a Blue Dress,Meteor Man,Devil in a Blue Dress,Lush Life,Colors
In which David E. Kelly TV series did Don Cheadle play a District Attorney?,Picket Fences,Picket Fences,Boston Public,The Practice,Boston Legal
"In 2000, Don Cheadle appeared in this movie about  drugs, starring Luis Guzman, Miguel Ferrer, Benicio Del Toro, Amy Irving, and Rena Sofer.",Traffic,Swordfish,Crash,Colors,Traffic
In which John Travolta movie about spies and hackers did Don Cheadle star in 2001?,Swordfish,Swordfish,Traffic,Crash,Colors
In 2004 Don Cheadle was in this movie that won the Best Picture Oscar.,Crash,Crash,Colors,Swordfish,Traffic
"In 2002, Don Cheadle played  Dr. Paul Nathan in ER. What was Dr. Nathans problem?",He had Parkinsons Disease.,He had terminal prostate cancer.,He was addicted to heroin.,He had Parkinsons Disease.,He went strictly by the book and would not bend the rules to help his patients.
"In the series Oceans Eleven, Don Cheadle plays Basher Tarr. What is Bashers skill?",He is an electonics expert.,He is an acrobat.,He is an expert pickpocket.,He is an electonics expert.,He is an expert at portraying non-English speaking people.
Which statement is untrue about  Don Cheadle?,He played a politician in The Golden Palace.,He was in  a spinoff of TVs The Golden Girls.,He played a politician in The Golden Palace.,He played a criminal in Rush Hour 2.,"He played Sammy Davis, Jr. in a movie."
In what year was Paul Newman born?,1925,1930,1925,1910,1928
What branch of the military did Paul Newman serve in?,Navy,Air Force,Marines,Navy,Army
Cat on a Hot Tin Roof (1958) was Paul Newmans first movie.,False,True,False,,
"Paul Newman appeared in 13 films with his wife Joanne Woodard, starting in 1958.",False,False,True,,
Paul Newmans last film appearance was in 2002s Road to Perdition opposite this actor.,Tom Hanks,Tom Cruise,Clint Eastwood,Tom Hanks,Robert Redford
Paul Newmans last performance in any form turned out to be the narration of this 2007 movie about a race car driver. Who was the movie about?,Dale Earnhardt,Darrell Waltrip,Adam Petty,Tony Stewart,Dale Earnhardt
What is the name of the salad dressing company that Paul Newman founded?,Newmans Own,Newmans Dressings,Newmans Own,The Hustler,Pauls Dressings
Paul Newman was an avid golfer.,False,False,True,,
In what 1969 film did Paul Newman co-star with Robert Redford?,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,The Sting,Winning,The Hustler
What is the name of the character played by Paul Newman in The Long Hot Summer?,Ben Quick,Butch Cassidy,Doug Roberts,Ben Quick,Luke Jackson
"In this movie Paul Newman plays a prisoner in a Florida prison camp who refuses to submit to the system. His last words before being killed were, What weve got here is a failure to communicate.",Cool Hand Luke,The Verdict,Hombre,The Long Hot Summer,Cool Hand Luke
Steve McQueen and Paul Newman never starred in a movie together.,False,False,True,,
"Is it true that Red Skelton was born in Vincennes, Iowa?",No,No,Yes,,
Which actor comedian spotted Red Skelton selling newspapers and helped him with the start of his career?,Ed Wynn,Ed Wynn,George Burns,Charlie Chaplin,W.C. Fields
"On his first radio show, Red Skelton developed several characters. What was the name he gave to the punch drunk boxer?",Cauliflower McPugg,Clem Kadiddlehopper,Cauliflower McPugg,Willie Lump Lump,Heathcliffe
Which of Red Skeltons characters was a cabdriver?,Clem Kadiddlehopper,San Fernando Red,Heathcliffe,Willie Lump Lump,Clem Kadiddlehopper
Who was the regular vocalist on Red Skeltons first radio show?,Harriet Nelson,Burl Ives,Harriet Nelson,Frankie Avalon,Perry Como
What did Red Skelton often say often about his years in WWII?,I was the only celebrity to go in a private and come out a private.,It drove me nuts.,"Clem was duckin, while Willie was bobbin and weavin.",I was the only celebrity to go in a private and come out a private.,"I once had General Bradley laughing so hard, he nearly rolled his Jeep."
Red Skeltons show was first aired on TV in 1951. What other comedian got their own CBS TV sitcom start in 1951?,Lucille Ball,W.C. Fields,Lucille Ball,Milton Berle,Bob Hope
Red Skelton battled CBS for a while largely because they said he didnt appeal to younger audiences.  Which network picked Red up for a short time after he left CBS?,NBC,NBC,PBS,ABC,FOX
"Well I aint sorry for you no more, ya crazy, psalm-singing, skinny old maid! is a Humphrey Bogart line uttered to Audrey Hepburn in the John Huston masterpiece, The African Queen.",False,True,False,,
Mr. T was born in 1952 in what major U.S. city?,Chicago,Chicago,St. Louis,Baltimore,New York
In what year did Mr. T get his own cartoon series?,1983,1983,1982,1985,1984
Which of these was NOT one of Mr.Ts occupations before becoming famous?,Construction Worker,Construction Worker,Bodyguard,Gym Teacher,Bouncer
"On a BBC poll, Mr. T was voted as one of the most influential Americans in history. Where did he rank on that poll?",4,10,4,16,25
Mr. T was not hired as a bodyguard for which of these stars?,Hugh Hefner,Steve McQueen,Muhammed Ali,Hugh Hefner,Diana Ross
Who is the Special Delivery for?,Hoops McCann,Manuel Noriega,Roger Rabbit,Al Jolson,Hoops McCann
"How much do the local boys spend,  just to shine the Silver Bowl?",.25 (one quarter),"$1,500.00",$500.00,$10.75,.25 (one quarter)
Where is The Caribe Cannibal heading?,"Off to Barbados, just for the ride","Off, on an Around the World  Cruise",Off to Dry Dock in Seattle,"Off to Barbados, just for the ride","Off to St. Thomas, for a weeks sailing"
Who is Jack at the wheel with?,His Eurasian Bride,The Captain and Tenille,Hoops McCann,His Eurasian Bride,The First Officer
What is Fridays Theme?,Celluloid Bikers,Celluloid Bikers,Big Band Night!,Family Bowl Night!,Jazz Quintet at Sundown (Bring Lawnchairs)
I drove the Chevrolet Caprice is the correct line from the song.,False,True,False,,
Whos in from Bogota?,Jive Miguel,Jack,Hoops McCann,Jive Miguel,Manuel Noriega
What time is the character in the previous question supposed to meet with the (implied) Narrator of this song?,Midnight,8:00A.M. the following morning,"Noon, of the following Day",6:05 P.M.,Midnight
Where do they meet?,At Mr. Chows,At Mr. Chows,At The Tale o the PuP Diner,At the Hollywood Bowl,At Madame Wongs
What is Hoops McCanns daytime profession?,Basketball star,Basketball star,Golf pro,Limousine driver,TV actor
"This singer/actor, born Trevor Tahiem Smith, Jr. in Brooklyn, New York in 1972, recorded the #1 hits Touch It, Get Low and the album The Coming. He named his son TZiah.",Busta Rhymes,Snoop Dogg,Ludacris,Busta Rhymes,LL Cool J
In what midwestern town was Bill Murray born and raised?,"Wilmette, Illinois","Benton Harbor, Michigan","Gary, Indiana","Cincinnati, Ohio","Wilmette, Illinois"
What did Bill Murray study while attending Regis University?,Pre-Med,Anthropology,Pre-Law,Art History,Pre-Med
Where did Bill Murray get his start in comedy?,Second City,Saturday Night Live,The Laugh Factory,Second City,Kentucky Fried Theatre
What is the name of the film in which Bill Murray had his first leading role?,Meatballs,Caddyshack,Meatballs,Stripes,Tootsie
Bill Murray studied at the Sorbonne.,True,True,False,,
Which of these films did Bill Murray co-write?,The Razors Edge,The Razors Edge,Stripes,Ghostbusters II,Rushmore
How many times was Bill Murray married from 1980 to 2008?,2,3,1,2,0
Bill Murrays book Cinderella Story is part autobiography and part essays about which subject?,his love of golf,his love of Chicago sports teams,his love of golf,his love of minor league baseball,his love of college basketball
Bill Murray was nominated for an Academy Award for his role in which of these films?,Lost in Translation,Broken Flowers,Lost in Translation,Groundhog Day,Rushmore
In which of the following films did Bill Murray not appear?,Little Miss Sunshine,Little Miss Sunshine,Hamlet,Wild Things,Get Smart
"The Duke starred with this actress in 5 different movies. She played Martha McCandles, Min Wead, and Mary Kate Danaher.",Maureen OHara,Katherine Hepburn,Maureen OHara,Angie Dickinson,Vera Miles
"Two of John Waynes seven children were in 10 of their dads movies, as either an actor or producer. Name them.",Michael and Patrick,Michael and John Jr.,Ethan and Missy,Patrick and Missy,Michael and Patrick
The Duke co-starred with several different screen legends throughout his career. Name his co-star in the movie Fort Apache.,Henry Fonda,Henry Fonda,Robert Mitchum,James Stewart,Kirk Douglas
